freq,db,phaseDeg
0,-5,0
100000000,-4.74618456658502,5.19850695005765
200000000,-4.23791794663696,8.05057260457843
300000000,-3.78395025084709,8.97898215527398
400000000,-3.45729676571096,9.07397246907763
500000000,-3.23077732141141,8.93041064561254
600000000,-3.06890677471239,8.77400074558108
700000000,-2.94675969673117,8.6732135248823
800000000,-2.84881210897569,8.63980579064148
900000000,-2.76558571507022,8.6672284515971
1000000000,-2.69123163888548,8.74432484648106
1100000000,-2.62207049956829,8.8599501674172
1200000000,-2.55574232507712,9.00433206700685
1300000000,-2.49070946283735,9.16929363552334
1400000000,-2.42596030998063,9.34811066267086
1500000000,-2.36082837733508,9.53528067008499
1600000000,-2.29487890385356,9.7262983322452
1700000000,-2.2278359663975,9.91746447225754
1800000000,-2.15953445881869,10.1057317930645
1900000000,-2.08988771165054,10.2885828435641
2000000000,-2.01886517681224,10.4639340937343
2100000000,-1.94647673327828,10.6300604324169
2200000000,-1.87276144066021,10.7855353999502
2300000000,-1.7977793416092,10.9291834831803
2400000000,-1.72160539477895,11.0600416644333
2500000000,-1.64432492451336,11.1773281006479
2600000000,-1.56603016962619,11.2804163332287
2700000000,-1.48681764223428,11.3688138240854
2800000000,-1.40678609324206,11.4421439083416
2900000000,-1.32603493897527,11.5001304739068
3000000000,-1.24466304318792,11.5425848416962
3100000000,-1.16276777631595,11.5693944422835
3200000000,-1.08044429336787,11.5805129760065
3300000000,-0.99778498581615,11.5759518120192
3400000000,-0.914879072999842,11.5557724334007
3500000000,-0.831812306023575,11.5200797745296
3600000000,-0.748666762725339,11.469016326721
3700000000,-0.665520716522556,11.4027569109598
3800000000,-0.582448565206091,11.3215040342067
3900000000,-0.49952080829631,11.2254837594854
4000000000,-0.416804063588123,11.1149420307597
4100000000,-0.33436111512451,10.9901414021814
4200000000,-0.252250986145843,10.8513581281759
4300000000,-0.17052903163337,10.6988795764307
4400000000,-0.0892470459512057,10.5330019304583
4500000000,-0.0084533818296011,10.354028152248
4600000000,0.0718069224485783,10.1622661787665
4700000000,0.151492010273679,9.95802732883683
4800000000,0.230563070521,9.74162489932894
4900000000,0.308984199746345,9.51337293168548
5000000000,0.386722264244398,9.27358513165695
5100000000,0.463746763176674,9.02257392675991
5200000000,0.540029693744879,8.76064964744109
5300000000,0.615545419188239,8.48811981924998
5400000000,0.690270540216687,8.20528855451451
5500000000,0.764183770349593,7.9124560330948
5600000000,0.837265815510403,7.6099180627699
5700000000,0.909499258126534,7.29796571070512
5800000000,0.980868445899388,6.97688499825936
5900000000,1.05135938533901,6.64695665213175
6000000000,1.12095964009929,6.30845590552212
6100000000,1.1896582341019,5.96165234359327
6200000000,1.25744555939786,5.6068097880839
6300000000,1.32431328868432,5.24418621643019
6400000000,1.39025429236896,4.87403371121814
6500000000,1.45526256005535,4.4965984362105
6600000000,1.51933312630742,4.11212063557523
6700000000,1.58246200054085,3.72083465329025
6800000000,1.64464610088137,3.32296897001478
6900000000,1.70588319182557,2.91874625500317
7000000000,1.76617182553727,2.50838343089576
7100000000,1.8255112866121,2.09209174945564
7200000000,1.88390154014402,1.67007687653076
7300000000,1.94134318293,1.24253898471242
7400000000,1.997837397652,0.809672852332313
7500000000,2.05338590988019,0.371667967595784
7600000000,2.10799094774536,-0.0712913632119394
7700000000,2.16165520413428,-0.519025904384499
7800000000,2.21438180126683,-0.971361377143346
7900000000,2.26617425751967,-1.42812834440159
8000000000,2.31703645636692,-1.88916209457635
8100000000,2.36697261731437,-2.35430252500289
8200000000,2.41598726870927,-2.82339402543101
8300000000,2.46408522231401,-3.29628536201942
8400000000,2.51127154953715,-3.77282956218652
8500000000,2.55755155922134,-4.25288380062413
8600000000,2.60293077689255,-4.73630928673529
8700000000,2.64741492538081,-5.22297115371632
8800000000,2.69100990672704,-5.71273834946758
8900000000,2.73372178529589,-6.20548352948515
9000000000,2.77555677201904,-6.70108295185746
9100000000,2.81652120969739,-7.19941637446604
9200000000,2.85662155929549,-7.70036695446749
9300000000,2.89586438716484,-8.20382115011458
9400000000,2.93425635313705,-8.70966862495736
9500000000,2.97180419943114,-9.21780215445033
9600000000,3.00851474032263,-9.72811753497907
9700000000,3.04439485252556,-10.2405134953083
9800000000,3.07945146624142,-10.7548916104438
9900000000,3.11369155683168,-11.2711562178918
10000000000,3.14712213707385,-11.7892143362937
10100000000,3.1797502499629,-12.3089755864059
10200000000,3.2115829620226,-12.8303521143911
10300000000,3.24262735709382,-13.3532585173824
10400000000,3.27289053056825,-13.8776117712775
10500000000,3.30237958403876,-14.4033311607196
10600000000,3.33110162033898,-14.9303382112153
10700000000,3.35906373894656,-15.4585566233422
10800000000,3.38627303172636,-15.9879122089956
10900000000,3.41273657899107,-16.5183328296214
11000000000,3.43846144585852,-17.0497483363851
11100000000,3.46345467888593,-17.5820905122226
11200000000,3.48772330296312,-18.1152930157219
11300000000,3.5112743184472,-18.6492913267818
11400000000,3.53411469852305,-19.1840226939974
11500000000,3.55625138677451,-19.7194260837186
11600000000,3.57769129495228,-20.2554421307333
11700000000,3.59844130092549,-20.7920130905226
11800000000,3.61850824680471,-21.3290827930411
11900000000,3.63789893722493,-21.8665965979717
12000000000,3.65662013777791,-22.4045013514098
12100000000,3.67467857358373,-22.942745343929
12200000000,3.69208092799241,-23.4812782699833
12300000000,3.70883384140671,-24.0200511886031
12400000000,3.72494391021799,-24.55901648534
12500000000,3.74041768584757,-25.0981278354205
12600000000,3.75526167388623,-25.6373401680673
